"ID";"StatusVanBewoning";"RegioS";"Perioden";"TotaleWoningvoorraad_1";"Koopwoningen_2";"TotaalHuurwoningen_3";"EigendomWoningcorporatie_4";"EigendomOverigeVerhuurders_5";"EigendomOnbekend_6"
"764";"T001235";"GM0202";"2016JJ00";"   72711";"   31924";"   40065";"   26772";"   13293";"     722"
"765";"T001235";"GM0202";"2017JJ00";"   73640";"   31968";"   40805";"   26688";"   14117";"     867"
"766";"T001235";"GM0202";"2018JJ00";"   74416";"   32363";"   41378";"   27043";"   14335";"     675"
"767";"T001235";"GM0202";"2019JJ00";"   75632";"   33134";"   41937";"   27180";"   14757";"     561"
"768";"T001235";"GM0202";"2020JJ00";"   76737";"   33345";"   42547";"   27244";"   15303";"     845"
"769";"T001235";"GM0202";"2021JJ00";"   77839";"   33421";"   44063";"   27428";"   16635";"     355"
"774";"T001235";"GM0106";"2016JJ00";"   30691";"   17971";"   12387";"    8954";"    3433";"     333"
"775";"T001235";"GM0106";"2017JJ00";"   30995";"   18026";"   12582";"    8991";"    3591";"     387"
"776";"T001235";"GM0106";"2018JJ00";"   31424";"   18212";"   12777";"    8867";"    3910";"     435"
"777";"T001235";"GM0106";"2019JJ00";"   31570";"   18756";"   12642";"    8865";"    3777";"     172"
"778";"T001235";"GM0106";"2020JJ00";"   32154";"   18922";"   13061";"    9000";"    4061";"     171"
"779";"T001235";"GM0106";"2021JJ00";"   32538";"   19098";"   13402";"    9066";"    4336";"      38"
"784";"T001235";"GM0743";"2016JJ00";"    6717";"    4740";"    1956";"    1451";"     505";"      21"
"785";"T001235";"GM0743";"2017JJ00";"    6768";"    4780";"    1974";"    1454";"     520";"      14"
"786";"T001235";"GM0743";"2018JJ00";"    6803";"    4814";"    1965";"    1460";"     505";"      24"
"787";"T001235";"GM0743";"2019JJ00";"    6853";"    4895";"    1951";"    1484";"     467";"       7"
"788";"T001235";"GM0743";"2020JJ00";"    6899";"    4898";"    1991";"    1492";"     499";"      10"
"789";"T001235";"GM0743";"2021JJ00";"    7069";"    5006";"    2062";"    1536";"     526";"       1"
"794";"T001235";"GM0744";"2016JJ00";"    2746";"    1921";"     811";"     332";"     479";"      14"
"795";"T001235";"GM0744";"2017JJ00";"    2770";"    1925";"     828";"     331";"     497";"      17"
"796";"T001235";"GM0744";"2018JJ00";"    2832";"    1966";"     852";"     329";"     523";"      14"
"797";"T001235";"GM0744";"2019JJ00";"    2852";"    1997";"     799";"     338";"     461";"      56"
